date,total,cash,holdings,kospi,kospi_chg_pct
2025-12-11,6369056,9727,6359329,4110.6201171875,-0.59
2025-12-12,6446542,9727,6436814,4167.16015625,1.38
2025-12-15,6441399,9727,6431671,4090.590087890625,-1.84
2025-12-16,6312213,9727,6302486,3999.1298828125,-2.24
2025-12-17,6309299,9727,6299571,4056.409912109375,1.43
2025-12-18,6230113,9727,6220386,3994.510009765625,-1.53
2025-12-19,6263070,9727,6253343,4020.550048828125,0.65
2025-12-22,6329156,9727,6319429,4105.93017578125,2.12
2025-12-23,6343013,9727,6333286,4117.31982421875,0.28
2025-12-24,6313027,9727,6303300,4108.6201171875,-0.21
2025-12-26,6290474,56388,6234086,4129.68017578125,0.51
2025-12-29,6419811,35311,6384500,4220.56005859375,2.2
2025-12-30,6384754,35311,6349443,4214.169921875,-0.15
2026-01-02,6502774,35203,6467571,4309.6298828125,2.27
2026-01-05,6648473,32102,6616371,4457.52001953125,3.43
2026-01-06,6758517,18346,6740171,4525.47998046875,1.52
2026-01-07,6775722,56465,6719257,4551.06005859375,0.57
2026-01-08,6873236,56465,6816771,4552.3701171875,0.03
2026-01-09,6971547,43946,6927600,4586.31982421875,0.75
2026-01-12,6948775,43946,6904829,4624.7900390625,0.84
2026-01-13,7190091,39963,7150129,4692.64013671875,1.47
2026-01-14,7170151,30066,7140086,4723.10009765625,0.65
2026-01-15,7261159,53330,7207829,4797.5498046875,1.58
2026-01-16,7236273,53330,7182943,4840.740234375,0.9
2026-01-19,7330219,37719,7292500,4904.66015625,1.32
2026-01-20,7309521,26593,7282929,4885.75,-0.39
2026-01-21,7308177,17220,7290957,4909.93017578125,0.49
2026-01-22,7237320,39234,7198086,4952.52978515625,0.87
2026-01-23,7322410,35295,7287114,4990.06982421875,0.76
2026-01-26,7295033,35147,7259886,4949.58984375,-0.81
2026-01-27,7322647,11961,7310686,5084.85009765625,2.73
2026-01-28,7395965,6080,7389886,5170.81005859375,1.69
2026-01-29,7444910,59853,7385057,5221.25,0.98
2026-01-30,7352851,1551,7351300,5224.35986328125,0.06
2026-02-02,7051551,1551,7050000,4949.669921875,-5.26
2026-02-03,7318608,1551,7317057,5288.080078125,6.84
2026-02-04,7362408,1551,7360857,5371.10009765625,1.57
2026-02-05,7146297,551468,6594829,5163.56982421875,-3.86
2026-02-06,7020064,47293,6972771,5089.14013671875,-1.44
2026-02-09,7203838,47095,7156743,5298.0400390625,4.1
2026-02-10,7235895,47095,7188800,5301.68994140625,0.07
2026-02-11,7356234,38549,7317686,5354.490234375,1
2026-02-12,7452143,42115,7410029,5522.27001953125,3.13
2026-02-13,7373082,29782,7343300,5507.009765625,-0.28
2026-02-19,7477454,29782,7447671,5677.25,3.09
2026-02-20,7558161,46833,7511329,5808.52978515625,2.31
2026-02-23,7565319,46833,7518486,5846.08984375,0.65
2026-02-24,7634124,14324,7619800,5969.64013671875,2.11
2026-02-25,7811321,37349,7773971,6083.85986328125,1.91
2026-02-26,8119978,37349,8082629,6307.27001953125,3.67
2026-02-27,8120007,16879,8103129,6244.1298828125,-1
2026-03-03,7395682,377825,7017857,5791.91015625,-7.24
2026-03-04,6559475,377825,6181650,5093.5400390625,-12.06
2026-03-05,7104058,31273,7072786,5583.89990234375,9.63
2026-03-06,7123478,28135,7095343,5584.8701171875,0.02
2026-03-09,6710009,582452,6127557,5251.8701171875,-5.96
2026-03-10,6985512,58741,6926771,5532.58984375,5.35
2026-03-11,7122484,58741,7063743,5609.9501953125,1.4
2026-03-12,7084946,58674,7026271,5583.25,-0.48
2026-03-13,6965117,58674,6906443,5487.240234375,-1.72
2026-03-16,6978403,58674,6919729,5549.85009765625,1.14
2026-03-17,7113146,58674,7054471,5640.47998046875,1.63
2026-03-18,7389073,129401,7259671,5925.02978515625,5.04
2026-03-19,7148359,696316,6452043,5763.22021484375,-2.73
2026-03-20,7142666,91124,7051543,5781.2001953125,0.31
2026-03-23,6734424,91124,6643300,5405.75,-6.49
2026-03-24,6942109,91124,6850986,5553.919921875,2.74
2026-03-25,7020152,91124,6929029,5642.2099609375,1.59
2026-03-26,6865660,514060,6351600,5460.4599609375,-3.22
2026-03-27,6924568,90997,6833571,5438.8701171875,-0.4
2026-03-30,6709111,90997,6618114,5277.2998046875,-2.97
2026-03-31,6452974,432945,6020029,5052.4599609375,-4.26
2026-04-01,6848015,85093,6762921,5478.7001953125,8.44
2026-04-02,6634158,322258,6311900,5234.0498046875,-4.47
2026-04-03,6660888,40788,6620100,5377.2998046875,2.74
2026-04-06,6745516,40788,6704729,5450.330078125,1.36
2026-04-07,6803516,40788,6762729,5494.77978515625,0.82
2026-04-08,7120988,43745,7077243,5872.33984375,6.87
2026-04-09,7019159,43745,6975414,5778.009765625,-1.61
2026-04-10,7035916,43745,6992171,5858.8701171875,1.4
2026-04-13,6946859,43745,6903114,5808.6201171875,-0.86
2026-04-14,7049302,43745,7005557,5967.75,2.74
2026-04-15,7265485,56942,7208543,6091.39013671875,2.07
2026-04-16,7447085,56942,7390143,6226.0498046875,2.21
2026-04-17,7397799,56942,7340857,6191.919921875,-0.55
2026-04-20,7421085,56942,7364143,6219.08984375,0.44
2026-04-21,7583741,9441,7574300,6388.47021484375,2.72
2026-04-22,7602529,41872,7560657,6417.93017578125,0.46
2026-04-23,7572843,41872,7530971,6475.81005859375,0.9
2026-04-24,7570515,41872,7528643,6475.6298828125,0
2026-04-27,7632958,34201,7598757,6615.02978515625,2.15
2026-04-28,7686848,5377,7681471,6641.02001953125,0.39
2026-04-29,7696120,5377,7690743,6690.89990234375,0.75
2026-04-30,7565586,5377,7560210,6598.8701171875,-1.38
2026-05-04,7848296,108572,7739724,6936.990234375,5.12
2026-05-06,8113448,85933,8027514,7384.56005859375,6.45
2026-05-07,8321362,85933,8235429,7490.0498046875,1.43
2026-05-08,8356253,44,8356210,7498,0.11
2026-05-11,8694244,138272,8555971,7822.240234375,4.32
2026-05-12,8503696,1884411,6619286,7643.14990234375,-2.29
2026-05-13,8683797,79211,8604586,7844.009765625,2.63
2026-05-14,8724533,33254,8691279,7981.41015625,1.75
2026-05-15,8291227,1075298,7215929,7493.18017578125,-6.12
2026-05-18,8149014,74785,8074229,7516.0400390625,0.31
2026-05-19,7812735,599707,7213029,7271.66015625,-3.25
2026-05-20,7757298,65726,7691571,7208.9501953125,-0.86
2026-05-21,8359752,150738,8209014,7815.58984375,8.42
2026-05-22,8386562,8448,8378114,7847.7099609375,0.41
2026-05-26,8601990,8448,8593543,8047.509765625,2.55
2026-05-27,8776304,129289,8647014,8228.7001953125,2.25
2026-05-28,8848047,129289,8718757,8185.2900390625,-0.53
2026-05-29,9051989,83546,8968443,8476.150390625,3.55
2026-06-01,9394393,3579,9390814,8788.3798828125,3.68
2026-06-02,9366917,3360,9363557,8801.490234375,0.15
2026-06-04,9038966,34166,9004800,8639.41015625,-1.84
2026-06-05,8680663,719663,7961000,8160.58984375,-5.54
